Hysterese	V-MOKE
Charge	2020_0446
Sample	1
Sample State	bFC
User	Meike Reginka
Sample Angle	155.0
Magnetic Field Angle	90.0
Detektor Averages	300
Hysteresus Points	150
Magnetic Field [kA/m]	80
Hysteresis Averages	100
Polarization	p-polarization
Measurement Method	Scan Both Angles
Max Voltage Correction	No
Training Effect Elimination	No
Magnetic field [kA/m]	Magnetic field transversal [kA/m]	Magnetic field longitudinal [kA/m]	Magnetic field transversal [V]	Magnetic field longitudinal [V]	Detector diff transversal [V]	Detector diff longitudinal [V]	Detector raw transversal [V]	Detector raw longitudinal [V]
80.0	80.0	0.0	-4.342489581062203	0.0	-10.564406957477331	-0.8467018259642548	0.09430532973214291	1.110386314940511
78.93333333333334	78.93333333333334	0.0	-4.283945631442396	0.0	-10.564406957477331	-0.84741032648482	0.09430844185027137	1.110571271340322
77.86666666666666	77.86666666666666	0.0	-4.225481927972428	0.0	-10.564406957477331	-0.8473985433616987	0.09430425658796057	1.110475536147823
76.8	76.8	0.0	-4.167093947216811	0.0	-10.564406957477331	-0.8474139644435974	0.09427068863793975	1.1100852228772962
75.73333333333333	75.73333333333333	0.0	-4.108777426500553	0.0	-10.564406957477331	-0.8474036729908896	0.09427289931495514	1.110170430525367
74.66666666666667	74.66666666666667	0.0	-4.050528351430542	0.0	-10.564406957477331	-0.8474026749668002	0.09425484902980964	1.1101743582330743
73.6	73.6	0.0	-3.992342943813344	0.0	-10.564406957477331	-0.8474026213095917	0.09427106423840349	1.1101208834584728
72.53333333333333	72.53333333333333	0.0	-3.934217649963252	0.0	-10.564406957477331	-0.847405819279254	0.09426716872502194	1.1101694968899283
71.46666666666667	71.46666666666667	0.0	-3.876149129394453	0.0	-10.564406957477331	-0.8474002174666226	0.09428634581155881	1.1102314924293377
70.4	70.4	0.0	-3.818134243891202	0.0	-10.564406957477331	-0.8473976955777947	0.09429279540809418	1.1103148971951813
69.33333333333333	69.33333333333333	0.0	-3.760170046949834	0.0	-10.564406957477331	-0.8474092318777541	0.09427457341987953	1.110298585403612
68.26666666666667	68.26666666666667	0.0	-3.7022537735865026	0.0	-10.564406957477331	-0.8474067314518097	0.09425494561278612	1.1099193469810464
67.2	67.2	0.0	-3.6443828305044987	0.0	-10.564406957477331	-0.8474048534494898	0.09426426050428803	1.1102556810992052
66.13333333333333	66.13333333333333	0.0	-3.586554786615013	0.0	-10.564406957477331	-0.847399562848672	0.09426568778605045	1.1101674901103074
65.06666666666666	65.06666666666666	0.0	-3.5287673639052177	0.0	-10.564406957477331	-0.8474039627398189	0.09421725678910542	1.1098112920933345
64.0	64.0	0.0	-3.4710184286475108	0.0	-10.564406957477331	-0.847420832566364	0.09425607241417748	1.1101210873558667
62.93333333333334	62.93333333333334	0.0	-3.4133059829438133	0.0	-10.564406957477331	-0.8474091352947772	0.09422959794720132	1.1099666833709245
61.86666666666667	61.86666666666667	0.0	-3.3556281565987605	0.0	-10.564406957477331	-0.8474098864957051	0.0942265394862819	1.109801676721461
60.8	60.8	0.0	-3.2979831993156687	0.0	-10.564406957477331	-0.8474163468236823	0.09421141888475393	1.1098788679824911
59.733333333333334	59.733333333333334	0.0	-3.2403694732091295	0.0	-10.564406957477331	-0.8474092962664049	0.09425115741382277	1.1098530695963484
58.66666666666667	58.66666666666667	0.0	-3.1827854456281033	0.0	-10.564406957477331	-0.8474048749123735	0.09420807067490532	1.1097326198933353
57.6	57.6	0.0	-3.1252296822833725	0.0	-10.564406957477331	-0.8474002174666228	0.09419297153626106	1.1095276922802915
56.53333333333333	56.53333333333333	0.0	-3.0677008406732234	0.0	-10.564406957477331	-0.8474016125540597	0.09425206958637773	1.1099087121222007
55.46666666666667	55.46666666666667	0.0	-3.0101976638012173	0.0	-10.564406957477331	-0.8474015267025252	0.0942272370300003	1.1100303959410247
54.4	54.4	0.0	-2.9527189741799083	0.0	-10.564406957477331	-0.8474076972815727	0.09422763409334768	1.1099454243846747
53.33333333333333	53.33333333333333	0.0	-2.895263668114395	0.0	-10.564406957477331	-0.847418246288885	0.09421999330677013	1.1100011205677318
52.266666666666666	52.266666666666666	0.0	-2.837830710259539	0.0	-10.564406957477331	-0.8474008828160158	0.09422002550109566	1.109921321566342
51.2	51.2	0.0	-2.7804191284447413	0.0	-10.564406957477331	-0.8473972555886802	0.09424390295915078	1.1099528290795317
50.13333333333333	50.13333333333333	0.0	-2.7230280087601257	0.0	-10.564406957477331	-0.8474000672264371	0.09419038525878184	1.1097619381923929
49.06666666666666	49.06666666666666	0.0	-2.665656490897999	0.0	-10.564406957477331	-0.8474106269651905	0.094197811416523	1.1098524149783997
