Hysterese	V-MOKE
Charge	2020_0446
Sample	1
Sample State	bFC
User	Meike Reginka
Sample Angle	95.0
Magnetic Field Angle	90.0
Detektor Averages	300
Hysteresus Points	150
Magnetic Field [kA/m]	80
Hysteresis Averages	100
Polarization	p-polarization
Measurement Method	Scan Both Angles
Max Voltage Correction	No
Training Effect Elimination	No
Magnetic field [kA/m]	Magnetic field transversal [kA/m]	Magnetic field longitudinal [kA/m]	Magnetic field transversal [V]	Magnetic field longitudinal [V]	Detector diff transversal [V]	Detector diff longitudinal [V]	Detector raw transversal [V]	Detector raw longitudinal [V]
80.0	80.0	0.0	-4.342489581062203	0.0	-5.780875908275745	-0.8437519028474285	0.14697376525811845	1.9510967607456493
78.93333333333334	78.93333333333334	0.0	-4.283945631442396	0.0	-5.780748225580945	-0.8459670119483413	0.14698236114301833	1.951173447628912
77.86666666666666	77.86666666666666	0.0	-4.225481927972428	0.0	-5.782357212116276	-0.8459731932588312	0.1469748598651844	1.9510605421294995
76.8	76.8	0.0	-4.167093947216811	0.0	-5.784725501817766	-0.845969566031495	0.14692298407541443	1.9508806080444592
75.73333333333333	75.73333333333333	0.0	-4.108777426500553	0.0	-5.783823738761422	-0.8459840320150721	0.1469570671346426	1.9509015450874554
74.66666666666667	74.66666666666667	0.0	-4.050528351430542	0.0	-5.782943213228439	-0.8459663465989483	0.14696970877310955	1.9510796333645006
73.6	73.6	0.0	-3.992342943813344	0.0	-5.788155785733452	-0.8459885821464043	0.14691223117070812	1.9504977102002332
72.53333333333333	72.53333333333333	0.0	-3.934217649963252	0.0	-5.785616973421403	-0.8459716050054413	0.14696170311751003	1.9508245040666115
71.46666666666667	71.46666666666667	0.0	-3.876149129394453	0.0	-5.785178433051329	-0.8459804262506193	0.1469540086737232	1.9507816641508569
70.4	70.4	0.0	-3.818134243891202	0.0	-5.786057091313429	-0.8459654773521607	0.1469571315232935	1.9508725058058847
69.33333333333333	69.33333333333333	0.0	-3.760170046949834	0.0	-5.7867425192340765	-0.8459958473325179	0.14692836052776748	1.9507364311235735
68.26666666666667	68.26666666666667	0.0	-3.7022537735865026	0.0	-5.7897069083344785	-0.8459905460002584	0.14690570645408005	1.9504677480146628
67.2	67.2	0.0	-3.6443828305044987	0.0	-5.787780764767521	-0.8459763697656105	0.14693449891248986	1.95058178031547
66.13333333333333	66.13333333333333	0.0	-3.586554786615013	0.0	-5.787637339047564	-0.8459909859893731	0.14693361893426055	1.9505310635214164
65.06666666666666	65.06666666666666	0.0	-3.5287673639052177	0.0	-5.7906068470457175	-0.845994666873918	0.14688883662753502	1.9504800140526661
64.0	64.0	0.0	-3.4710184286475108	0.0	-5.790827195740656	-0.8459807481938744	0.14689952514359034	1.9502114919153828
62.93333333333334	62.93333333333334	0.0	-3.4133059829438133	0.0	-5.790391037750664	-0.8459967595050728	0.14690353870283196	1.950237923456592
61.86666666666667	61.86666666666667	0.0	-3.3556281565987605	0.0	-5.79467010359442	-0.8459677094920599	0.14687921052422032	1.950028188157613
60.8	60.8	0.0	-3.2979831993156687	0.0	-5.787496177661831	-0.8459963409788425	0.14692860735092939	1.9503108436037766
59.733333333333334	59.733333333333334	0.0	-3.2403694732091295	0.0	-5.788369513128787	-0.8459726888810657	0.14693899538661362	1.9503781512068878
58.66666666666667	58.66666666666667	0.0	-3.1827854456281033	0.0	-5.7880927492441865	-0.8459848905304174	0.14692622497084476	1.9503951605421757
57.6	57.6	0.0	-3.1252296822833725	0.0	-5.79072184517629	-0.8459736439793878	0.14689428819998085	1.9504987833444147
56.53333333333333	56.53333333333333	0.0	-3.0677008406732234	0.0	-5.788601108374759	-0.8459902240570032	0.14692048364946964	1.9504075446260396
55.46666666666667	55.46666666666667	0.0	-3.0101976638012173	0.0	-5.790961993381386	-0.8459901167425847	0.14689151948799056	1.950370038236871
54.4	54.4	0.0	-2.9527189741799083	0.0	-5.795768488127839	-0.8459887109237064	0.14686940198639456	1.949861496671784
53.33333333333333	53.33333333333333	0.0	-2.895263668114395	0.0	-5.788958508313217	-0.8459775502242107	0.14691670618194821	1.950244319395919
52.266666666666666	52.266666666666666	0.0	-2.837830710259539	0.0	-5.791478229390261	-0.8459807803881997	0.14690093096246912	1.9502703002165713
51.2	51.2	0.0	-2.7804191284447413	0.0	-5.795964014997845	-0.8459856524627871	0.146864347477296	1.9498371041045217
50.13333333333333	50.13333333333333	0.0	-2.7230280087601257	0.0	-5.795439794796258	-0.8459792350605777	0.1468645084489234	1.9495601363225246
49.06666666666666	49.06666666666666	0.0	-2.665656490897999	0.0	-5.799510735057306	-0.8459896445591453	0.1468233855638596	1.949602546980606
48.0	48.0	0.0	-2.6083037637434527	0.0	-5.796484060668567	-0.8459951390573582	0.14687320091679962	1.9498474062886708
46.93333333333334	46.93333333333334	0.0	-2.5509690612079656	0.0	-5.792761988849723	-0.845984074940839	0.14689400918249357	1.9499154221669408
45.86666666666667	45.86666666666667	0.0	-2.4936516582998802	0.0	-5.792149459613379	-0.8459805228335959	0.14689363358202961	1.9501113568317374
44.8	44.8	0.0	-2.4363508674256087	0.0	-5.797578592614371	-0.8459839676264207	0.14683392383972907	1.9499192640231144
43.733333333333334	43.733333333333334	0.0	-2.3790660349154367	0.0	-5.7936947121157285	-0.84597860190551	0.14688420064466778	1.9498891408659187
42.666666666666664	42.666666666666664	0.0	-2.3217965377677903	0.0	-5.79478880407242	-0.8459775824185369	0.14686554939878016	1.9496414162628886
41.6	41.6	0.0	-2.264541780605829	0.0	-5.794850434742802	-0.8459910611094652	0.14687022830741492	1.9496263600500106
40.53333333333333	40.53333333333333	0.0	-2.207301192840227	0.0	-5.796717930980204	-0.8459961048871221	0.14682997466913858	1.94962871023577
