Hysterese	V-MOKE
Charge	2020_0446
Sample	1
Sample State	bFC
User	Meike Reginka
Sample Angle	35.0
Magnetic Field Angle	0.0
Detektor Averages	300
Hysteresus Points	150
Magnetic Field [kA/m]	80
Hysteresis Averages	100
Polarization	p-polarization
Measurement Method	Scan Both Angles
Max Voltage Correction	No
Training Effect Elimination	No
Magnetic field [kA/m]	Magnetic field transversal [kA/m]	Magnetic field longitudinal [kA/m]	Magnetic field transversal [V]	Magnetic field longitudinal [V]	Detector diff transversal [V]	Detector diff longitudinal [V]	Detector raw transversal [V]	Detector raw longitudinal [V]
80.0	0.0	80.0	0.0	4.381030188287403	-10.564406957477331	-0.8454709939758619	0.07748115474064843	0.9589612172763425
78.93333333333334	0.0	78.93333333333334	0.0	4.319818714176459	-10.564406957477331	-0.8461535458701003	0.07751007597636005	0.9590293190061484
77.86666666666666	0.0	77.86666666666666	0.0	4.258793669369702	-10.564406957477331	-0.8461627212528589	0.07746288982666644	0.9587576310935272
76.8	0.0	76.8	0.0	4.197942654193435	-10.564406957477331	-0.8461638802485751	0.07749760604096222	0.9589712082486795
75.73333333333333	0.0	75.73333333333333	0.0	4.137253993604595	-10.564406957477331	-0.8461642773119229	0.0774870355707671	0.958840542213048
74.66666666666667	0.0	74.66666666666667	0.0	4.0767167056162315	-10.564406957477331	-0.8461844631539909	0.07751870405558535	0.9590416279699185
73.6	0.0	73.6	0.0	4.0163204706037074	-10.564406957477331	-0.8461615944514671	0.07753012230968452	0.9591686667782136
72.53333333333333	0.0	72.53333333333333	0.0	3.9560556014798554	-10.564406957477331	-0.8461563038506487	0.07750525755898173	0.9591038488696053
71.46666666666667	0.0	71.46666666666667	0.0	3.89591301472721	-10.564406957477331	-0.846157774058178	0.07748560828900466	0.9591387153240877
70.4	0.0	70.4	0.0	3.8358842022755653	-10.564406957477331	-0.8461880796498851	0.07749420417390458	0.9590174929572597
69.33333333333333	0.0	69.33333333333333	0.0	3.775961204212982	-10.564406957477331	-0.8461641914603882	0.0775036156483829	0.9589556261951533
68.26666666666667	0.0	68.26666666666667	0.0	3.716136582318465	-10.564406957477331	-0.846180116920053	0.07751624655540801	0.95916682097022
67.2	0.0	67.2	0.0	3.6564033944044745	-10.564406957477331	-0.8461616910344436	0.07751520560555117	0.9590505779923986
66.13333333333333	0.0	66.13333333333333	0.0	3.596755169457454	-10.564406957477331	-0.8461717249325474	0.07746175229383324	0.9587735136274247
65.06666666666666	0.0	65.06666666666666	0.0	3.5371858835645753	-10.564406957477331	-0.8461713707949674	0.07750312200205905	0.9588968930140582
64.0	0.0	64.0	0.0	3.4776899366148504	-10.564406957477331	-0.846157591623667	0.07752278200347794	0.9589788812295826
62.93333333333334	0.0	62.93333333333334	0.0	3.4182621297628257	-10.564406957477331	-0.8461581389272002	0.07750607314856021	0.9588294673650875
61.86666666666667	0.0	61.86666666666667	0.0	3.3588976436430196	-10.564406957477331	-0.846167926002143	0.07749954843193216	0.9591189265453661
60.8	0.0	60.8	0.0	3.2995920173232944	-10.564406957477331	-0.8461647602268052	0.07749250860609658	0.9589153618254349
59.733333333333334	0.0	59.733333333333334	0.0	3.2403411279853396	-10.564406957477331	-0.8461688381746976	0.07750054645602165	0.9589670122549263
58.66666666666667	0.0	58.66666666666667	0.0	3.181141171320454	-10.564406957477331	-0.8461717571268735	0.07749095254703228	0.9588888444326915
57.6	0.0	57.6	0.0	3.121988642628807	-10.564406957477331	-0.8461674967444694	0.07750375515712661	0.9591082165664275
56.53333333333333	0.0	56.53333333333333	0.0	3.062880318610361	-10.564406957477331	-0.8461705444739475	0.07749671533129102	0.9590547203289427
55.46666666666667	0.0	55.46666666666667	0.0	3.003813239835633	-10.564406957477331	-0.8461662197028929	0.07748455660770612	0.958793871172562
54.4	0.0	54.4	0.0	2.9447846938844906	-10.564406957477331	-0.8461717785897568	0.07749642558236179	0.9590713540637674
53.33333333333333	0.0	53.33333333333333	0.0	2.885792199141142	-10.564406957477331	-0.8461663484801946	0.07753414660036796	0.959247102886495
52.266666666666666	0.0	52.266666666666666	0.0	2.8268334892335334	-10.564406957477331	-0.8461609612963996	0.07758236296847659	0.9593248629139406
51.2	0.0	51.2	0.0	2.7679064981053	-10.564406957477331	-0.8461678079562822	0.07751413246136893	0.9593574221084296
50.13333333333333	0.0	50.13333333333333	0.0	2.7090093457084867	-10.564406957477331	-0.8461621739493252	0.07750932477543247	0.9591599313845702
49.06666666666666	0.0	49.06666666666666	0.0	2.6501403243051973	-10.564406957477331	-0.8461598130321248	0.07750990427329088	0.9591927052078963
48.0	0.0	48.0	0.0	2.591297885366365	-10.564406957477331	-0.8461705122796219	0.07752560437267715	0.9592131164102429
46.93333333333334	0.0	46.93333333333334	0.0	2.532480627055822	-10.564406957477331	-0.8461651680215939	0.07750036402151067	0.9590623074583106
45.86666666666667	0.0	45.86666666666667	0.0	2.4736872822878553	-10.564406957477331	-0.8461689991463246	0.07750007427258146	0.9590521018571381
44.8	0.0	44.8	0.0	2.4149167073464275	-10.564406957477331	-0.8461691601179524	0.07751999182860404	0.9590735432778991
43.733333333333334	0.0	43.733333333333334	0.0	2.356167871054244	-10.564406957477331	-0.8461627641786261	0.07750082547350903	0.9591339398324757
42.666666666666664	0.0	42.666666666666664	0.0	2.2974398444798476	-10.564406957477331	-0.8461571409031106	0.07749636119371091	0.9589176583539851
41.6	0.0	41.6	0.0	2.2387317911709355	-10.564406957477331	-0.846162603206999	0.07747786018800883	0.9588345755313954
