Hysterese	V-MOKE
Charge	2020_0446
Sample	1
Sample State	bFC
User	Meike Reginka
Sample Angle	170.0
Magnetic Field Angle	0.0
Detektor Averages	300
Hysteresus Points	150
Magnetic Field [kA/m]	80
Hysteresis Averages	100
Polarization	p-polarization
Measurement Method	Scan Both Angles
Max Voltage Correction	No
Training Effect Elimination	No
Magnetic field [kA/m]	Magnetic field transversal [kA/m]	Magnetic field longitudinal [kA/m]	Magnetic field transversal [V]	Magnetic field longitudinal [V]	Detector diff transversal [V]	Detector diff longitudinal [V]	Detector raw transversal [V]	Detector raw longitudinal [V]
80.0	0.0	80.0	0.0	4.381030188287403	-2.7433545000838073	-0.8357610244432153	0.1719300766225361	1.5961614052172743
78.93333333333334	0.0	78.93333333333334	0.0	4.319818714176459	-2.751385954069553	-0.8416278714932637	0.17184769134366454	1.5959937693645665
77.86666666666666	0.0	77.86666666666666	0.0	4.258793669369702	-2.748171962363799	-0.8415555308439384	0.171871000035303	1.5959706001816705
76.8	0.0	76.8	0.0	4.197942654193435	-2.747493509880336	-0.8416229028356996	0.17188788059328985	1.5960735790973997
75.73333333333333	0.0	75.73333333333333	0.0	4.137253993604595	-2.7423998417507183	-0.8415434794347716	0.1719256659999471	1.596394213116173
74.66666666666667	0.0	74.66666666666667	0.0	4.0767167056162315	-2.74793191074167	-0.8416176766235326	0.17187777157509307	1.5961009550054883
73.6	0.0	73.6	0.0	4.0163204706037074	-2.749103934428875	-0.8416073422450577	0.17186868204386943	1.5961047753987772
72.53333333333333	0.0	72.53333333333333	0.0	3.9560556014798554	-2.7496337457116544	-0.8416355444741663	0.17187618332170349	1.5959756224964436
71.46666666666667	0.0	71.46666666666667	0.0	3.89591301472721	-2.7518146215131543	-0.8416150044945181	0.17185293901871582	1.5958901894880946
70.4	0.0	70.4	0.0	3.8358842022755653	-2.7521933877522775	-0.841655440567306	0.17184772353799005	1.5955233995380416
69.33333333333333	0.0	69.33333333333333	0.0	3.775961204212982	-2.7565323457728454	-0.8416595399780821	0.1718184803590237	1.5957039238523814
68.26666666666667	0.0	68.26666666666667	0.0	3.716136582318465	-2.746958257756555	-0.8416147040141475	0.1718949955392184	1.5960002511554263
67.2	0.0	67.2	0.0	3.6564033944044745	-2.743974691569615	-0.8415607892504311	0.1719232621569789	1.5962167687256377
66.13333333333333	0.0	66.13333333333333	0.0	3.596755169457454	-2.749279146679511	-0.8416346108387281	0.17188744060417527	1.5961045393070576
65.06666666666666	0.0	65.06666666666666	0.0	3.5371858835645753	-2.749181672993436	-0.8415757059545642	0.17188838497105563	1.5960753283224158
64.0	0.0	64.0	0.0	3.4776899366148504	-2.746740291441698	-0.8415985102684377	0.17189718475335009	1.5961294791778524
62.93333333333334	0.0	62.93333333333334	0.0	3.4182621297628257	-2.748837676625816	-0.8416007531397784	0.17186977665093525	1.5961511137645674
61.86666666666667	0.0	61.86666666666667	0.0	3.3588976436430196	-2.7525563358461578	-0.8416627272163033	0.17184109150694382	1.5957151274776438
60.8	0.0	60.8	0.0	3.2995920173232944	-2.7445950440270503	-0.8415894529315389	0.1719090751908894	1.5962959453034042
59.733333333333334	0.0	59.733333333333334	0.0	3.2403411279853396	-2.7512713422708868	-0.8416162171474443	0.17185468824373287	1.5959941127707034
58.66666666666667	0.0	58.66666666666667	0.0	3.181141171320454	-2.7485005913067315	-0.8415934772222223	0.17187113954404676	1.5959306470237649
57.6	0.0	57.6	0.0	3.121988642628807	-2.746845083971095	-0.8416083080748211	0.1719018100047755	1.5961833939415686
56.53333333333333	0.0	56.53333333333333	0.0	3.062880318610361	-2.7463849734029537	-0.8415677754190574	0.17188535870446156	1.596058984336521
55.46666666666667	0.0	55.46666666666667	0.0	3.003813239835633	-2.7535386383733838	-0.8416640257207643	0.1718289649776842	1.5958464695941095
54.4	0.0	54.4	0.0	2.9447846938844906	-2.7478500298405657	-0.8415966322661181	0.1718816670884746	1.5961110640236855
53.33333333333333	0.0	53.33333333333333	0.0	2.885792199141142	-2.7508803958452943	-0.8416370254131386	0.17185529993591672	1.595797931282746
52.266666666666666	0.0	52.266666666666666	0.0	2.8268334892335334	-2.753918928477249	-0.8416257037420155	0.1718530356016922	1.5957956884114057
51.2	0.0	51.2	0.0	2.7679064981053	-2.7506150180204645	-0.841627109560894	0.17187359704422406	1.5958446237861152
50.13333333333333	0.0	50.13333333333333	0.0	2.7090093457084867	-2.7449245207538873	-0.841562946270237	0.17190567332383164	1.596163583699965
49.06666666666666	0.0	49.06666666666666	0.0	2.6501403243051973	-2.74682952338045	-0.8416148005971236	0.1719004256487805	1.5958678895519869
48.0	0.0	48.0	0.0	2.591297885366365	-2.7450535448789166	-0.8415775410311163	0.1718998032251548	1.5961452222030068
46.93333333333334	0.0	46.93333333333334	0.0	2.532480627055822	-2.7454738310664566	-0.8416131372236417	0.17190172415324098	1.5961518113082847
45.86666666666667	0.0	45.86666666666667	0.0	2.4736872822878553	-2.7498850438848113	-0.841600238030571	0.1718658167489028	1.595911598714531
44.8	0.0	44.8	0.0	2.4149167073464275	-2.749955313365866	-0.8416156483810275	0.17186786645429084	1.5959649125175048
43.733333333333334	0.0	43.733333333333334	0.0	2.356167871054244	-2.7465553886990945	-0.8415700719476077	0.17187797547248787	1.5960830227662033
42.666666666666664	0.0	42.666666666666664	0.0	2.2974398444798476	-2.750745437232932	-0.8416212716565431	0.17186607430350662	1.5959812779662845
41.6	0.0	41.6	0.0	2.2387317911709355	-2.7450168111535582	-0.8415630428532138	0.17192403482078997	1.596107522647884
40.53333333333333	0.0	40.53333333333333	0.0	2.1800429579020566	-2.7486649755325674	-0.8416089626927722	0.171870517120421	1.5962029466285708
39.46666666666667	0.0	39.46666666666667	0.0	2.1213726659248966	-2.751456405985116	-0.841593863554128	0.17184328072107544	1.5958092314909846
38.4	0.0	38.4	0.0	2.0627203027093186	-2.749781839608805	-0.8416381951402973	0.17186226464165966	1.5960549171200693
37.333333333333336	0.0	37.333333333333336	0.0	2.0040853141633432	-2.7494718511803184	-0.8415981883251828	0.1718650977423007	1.5959125967386203
36.266666666666666	0.0	36.266666666666666	0.0	1.9454671973202513	-2.7588335639629418	-0.8416788029161535	0.17179330439650797	1.5957303875879147
35.2	0.0	35.2	0.0	1.8868654934810003	-2.753058213185872	-0.8416266051831289	0.17184502994609258	1.5958226994504727
34.13333333333333	0.0	34.13333333333333	0.0	1.8282797818001153	-2.755464814134665	-0.8417017252758862	0.1718197359377169	1.595520373271448
33.06666666666667	0.0	33.06666666666667	0.0	1.7697096733032631	-2.7578430626141652	-0.8416341386552879	0.17182088420199193	1.5956114939439636
32.0	0.0	32.0	0.0	1.7111548053246695	-2.7553375285032105	-0.8416579302618087	0.1718139838849	1.5958934518464083
30.933333333333337	0.0	30.933333333333337	0.0	1.652614836352576	-2.7542286808140135	-0.841622774058398	0.17183377266362068	1.595804413073607
29.866666666666667	0.0	29.866666666666667	0.0	1.5940894412709112	-2.7522705253560997	-0.8416645408299713	0.17184894692235791	1.5958399019517149
28.799999999999997	0.0	28.799999999999997	0.0	1.5355783069853621	-2.752793908505224	-0.8416264334800598	0.17184519091771988	1.5957706197633084
27.733333333333334	0.0	27.733333333333334	0.0	1.4770811284220267	-2.753593658475606	-0.8416350400964009	0.17185058883295656	1.595842209211705
26.666666666666664	0.0	26.666666666666664	0.0	1.4185976048868278	-2.7552590387377194	-0.8416435930555342	0.17181525019503496	1.5958919816388786
25.6	0.0	25.6	0.0	1.360127436773878	-2.7474735064727787	-0.8416109909352769	0.17188869618286845	1.5961629183505714
24.53333333333333	0.0	24.53333333333333	0.0	1.3016703226109647	-2.7496288629056242	-0.8415941533030573	0.1718616422180338	1.596458451526923
23.46666666666667	0.0	23.46666666666667	0.0	1.243225956430354	-2.7583859984502914	-0.8416842008313903	0.17180884352426698	1.5959103860616048
22.4	0.0	22.4	0.0	1.1847940254530787	-2.757693326806416	-0.8416577907530645	0.17180274806531182	1.5955889042589269
21.333333333333336	0.0	21.333333333333336	0.0	1.1263742080749082	-2.750517801888995	-0.8416480787982156	0.17185826181385985	1.5961449753798453
20.266666666666666	0.0	20.266666666666666	0.0	1.0679661721421683	-2.752646984335233	-0.8415995619497357	0.17185155466272076	1.5960818745019285
19.200000000000003	0.0	19.200000000000003	0.0	1.0095695735056076	-2.7579795772855875	-0.8416829881784641	0.1718119663738375	1.5960273587774703
18.133333333333333	0.0	18.133333333333333	0.0	0.9511840548404781	-2.758855048309471	-0.8416640901094149	0.17179995789043795	1.5959249915539249
17.06666666666667	0.0	17.06666666666667	0.0	0.8928092447210244	-2.760244308573489	-0.8417087329073963	0.17178553483262848	1.5960139981324004
16.0	0.0	16.0	0.0	0.8344447569375557	-2.7623283545754242	-0.8416840076654374	0.171764705104051	1.5959483431713302
14.933333333333337	0.0	14.933333333333337	0.0	0.7760901900442883	-2.766779853226382	-0.8417428052351831	0.17172706993757939	1.5956014171200927
13.866666666666674	0.0	13.866666666666674	0.0	0.7177451271261349	-2.76232822579812	-0.8416917128406657	0.17176094909941308	1.5961198745374225
12.799999999999997	0.0	12.799999999999997	0.0	0.6594091357726295	-2.7667339226553804	-0.841751851840639	0.1717198047514655	1.596246430430835
11.733333333333334	0.0	11.733333333333334	0.0	0.6010817682471681	-2.770340567085979	-0.8417273841532834	0.171695294138343	1.5961220208257865
10.666666666666671	0.0	10.666666666666671	0.0	0.5427625618397398	-2.7829880112629386	-0.8418465675461648	0.17160035307253899	1.5958839330575123
9.599999999999994	0.0	9.599999999999994	0.0	0.4844510393913435	-2.7772147423855817	-0.841811926451962	0.17165715459410566	1.596057353157364
8.533333333333331	0.0	8.533333333333331	0.0	0.4261467099782665	-2.786631282104476	-0.8418797598957221	0.17155360691196012	1.5960086216800478
7.466666666666669	0.0	7.466666666666669	0.0	0.36784906974439924	-2.7995054494528206	-0.8419380423562605	0.1714628725713507	1.5959734976709625
6.400000000000006	0.0	6.400000000000006	0.0	0.30955760286978407	-2.812871621214399	-0.8420425022109609	0.1713631130881684	1.5957484807988291
5.333333333333329	0.0	5.333333333333329	0.0	0.25127178266356687	-2.8120548082515198	-0.8420054143480222	0.17135820881925565	1.5962448743717708
4.266666666666666	0.0	4.266666666666666	0.0	0.19299107276954444	-2.825689802630754	-0.8421526389983857	0.1712464837784413	1.5962213081255292
3.200000000000003	0.0	3.200000000000003	0.0	0.13471492847247593	-2.829848365114285	-0.842112342434342	0.17121754107984596	1.596335415546427
2.13333333333334	0.0	2.13333333333334	0.0	0.07644279809335723	-2.8493017970095083	-0.8422803753503985	0.17104624580547478	1.5958073534886668
1.0666666666666629	0.0	1.0666666666666629	0.0	0.018174124461827576	-2.8545330744176165	-0.8422885741719516	0.17100741944896092	1.595942891598884
0.0	0.0	0.0	0.0	-0.0400916535461	-2.864362935618305	-0.8423588007272378	0.17093024965081519	1.5958935162350594
-1.0666666666666629	0.0	-1.0666666666666629	0.0	-0.09835509941681445	-2.8685164757870614	-0.842368866819667	0.17089849531446238	1.5963071489286675
-2.1333333333333258	0.0	-2.1333333333333258	0.0	-0.156616777366191	-2.8787775585145026	-0.8424458112575346	0.17082252743780071	1.59602953726016
-3.200000000000003	0.0	-3.200000000000003	0.0	-0.21487725067681432	-2.887527353752966	-0.8424699462701938	0.1707324691780261	1.5960000794523566
-4.266666666666666	0.0	-4.266666666666666	0.0	-0.27313708001714876	-2.8974391173176417	-0.8425642649123717	0.17065592180350592	1.5959309904299033
-5.333333333333329	0.0	-5.333333333333329	0.0	-0.331396821754486	-2.90198475217627	-0.8425725817797839	0.17062395283831674	1.596018269246246
-6.400000000000006	0.0	-6.400000000000006	0.0	-0.3896570262734731	-2.9058212748221477	-0.8426059887581774	0.17058637132905413	1.5961184365242178
