Hysterese	V-MOKE
Charge	2020_0446
Sample	1
Sample State	bFC
User	Meike Reginka
Sample Angle	175.0
Magnetic Field Angle	90.0
Detektor Averages	300
Hysteresus Points	150
Magnetic Field [kA/m]	80
Hysteresis Averages	100
Polarization	p-polarization
Measurement Method	Scan Both Angles
Max Voltage Correction	No
Training Effect Elimination	No
Magnetic field [kA/m]	Magnetic field transversal [kA/m]	Magnetic field longitudinal [kA/m]	Magnetic field transversal [V]	Magnetic field longitudinal [V]	Detector diff transversal [V]	Detector diff longitudinal [V]	Detector raw transversal [V]	Detector raw longitudinal [V]
80.0	80.0	0.0	-4.342489581062203	0.0	-1.2633376706398807	-0.7901402165110204	0.18401325085702513	1.7016833399834546
78.93333333333334	78.93333333333334	0.0	-4.283945631442396	0.0	-1.2640195142589585	-0.8048812576731355	0.1840067476032806	1.7015316403218521
77.86666666666666	77.86666666666666	0.0	-4.225481927972428	0.0	-1.2646419056903395	-0.8050157548334973	0.18400506276691458	1.7013871521891537
76.8	76.8	0.0	-4.167093947216811	0.0	-1.2593325033857616	-0.8047104667765305	0.18403742879545126	1.7017194083594216
75.73333333333333	75.73333333333333	0.0	-4.108777426500553	0.0	-1.2682720412470863	-0.8052890846567167	0.1839642618251052	1.701324813243607
74.66666666666667	74.66666666666667	0.0	-4.050528351430542	0.0	-1.2651565749087055	-0.8049830239359386	0.18399213137951825	1.701497664577043
73.6	73.6	0.0	-3.992342943813344	0.0	-1.2600804204921408	-0.8046824362504899	0.1840265793077687	1.701943716956396
72.53333333333333	72.53333333333333	0.0	-3.934217649963252	0.0	-1.264448793394744	-0.8049551651129673	0.18398211894429795	1.701508750156445
71.46666666666667	71.46666666666667	0.0	-3.876149129394453	0.0	-1.2626774723389596	-0.8049029781113844	0.1840014570024621	1.7019292617042607
70.4	70.4	0.0	-3.818134243891202	0.0	-1.2687040354376526	-0.8052493246647647	0.18396514180333454	1.7012448961963549
69.33333333333333	69.33333333333333	0.0	-3.760170046949834	0.0	-1.2662358038184713	-0.8052790400271712	0.18397967217556238	1.7014080677692658
68.26666666666667	68.26666666666667	0.0	-3.7022537735865026	0.0	-1.2638176021810683	-0.8049512588681442	0.1839827306364818	1.7014617249783786
67.2	67.2	0.0	-3.6443828305044987	0.0	-1.268677593165002	-0.8053282436879272	0.18396164335330054	1.701320445546785
66.13333333333333	66.13333333333333	0.0	-3.586554786615013	0.0	-1.26606439049824	-0.8051241745902302	0.18397048606136246	1.7016308632329435
65.06666666666666	65.06666666666666	0.0	-3.5287673639052177	0.0	-1.2692412192209626	-0.8053605560592552	0.18394796076497688	1.7011049152692217
64.0	64.0	0.0	-3.4710184286475108	0.0	-1.2688437480787405	-0.8052597127004489	0.18396301697785383	1.701245078630866
62.93333333333334	62.93333333333334	0.0	-3.4133059829438133	0.0	-1.2679641776440826	-0.8052553986608361	0.1839521674901713	1.7011703663328979
61.86666666666667	61.86666666666667	0.0	-3.3556281565987605	0.0	-1.2726046140597693	-0.8054819286662679	0.18392038095949306	1.7010390349478732
60.8	60.8	0.0	-3.2979831993156687	0.0	-1.2711707539235355	-0.805556222438005	0.18392521010831306	1.7009731653579672
59.733333333333334	59.733333333333334	0.0	-3.2403694732091295	0.0	-1.269546217529	-0.8052836116213874	0.18393951512026244	1.7012756095828514
58.66666666666667	58.66666666666667	0.0	-3.1827854456281033	0.0	-1.2761484902871463	-0.8058338233750704	0.18388595449412634	1.7008402779138783
