# User			Meike Reginka
# Sample		2021_0185_1
# State			as made
# Profile		mere_beads.txt
# Comment
# ML 
# 
# Meas. type 		Minor loops
# angle (deg)		 0.000
# Hmin (kA/m)		-70.000
# Hmax (kA/m)		70.000
# pts./branch		70
# time/pt. (s)		 0.020
# dt (s)		 0.020
# nCycles		1
# Hstop (kA/m)		 0.000
# wait (s)		60.000
# nSched		5
# nMinorLoops		5
# nX			2
# nY			2
# dx (mm)		 0.250
# dy (mm)		 0.250
# avg. raster		no average raster
# Loop			2/5
# -----------------------------------------------
# H (kA/m) 	 I (arb.u.)
1.772486674104818150e+01 1.824905191225504542e+00
1.565052933186849415e+01 1.823278819515098848e+00
1.352760006901042011e+01 1.822591657568940260e+00
1.141118071956380398e+01 1.821344684153131332e+00
9.459834174479169633e+00 1.820790178953335170e+00
7.291103020833334725e+00 1.819622799585343564e+00
5.071455044433595738e+00 1.818818899702386194e+00
2.868081851562500617e+00 1.817627642120049902e+00
7.019081638997396455e-01 1.817388859976596827e+00
-1.558194274414062663e+00 1.816542509934803595e+00
-3.750872609537761360e+00 1.814910831954543280e+00
-6.000047693196615128e+00 1.812828121036649920e+00
-8.250850255208336037e+00 1.811082358254517910e+00
-1.044422608105468875e+01 1.809692115552637981e+00
-1.265224921207682662e+01 1.808978422257206953e+00
-1.487863959879557818e+01 1.807344091142019327e+00
-1.712037478141276381e+01 1.806258958956772798e+00
-1.935397257226562928e+01 1.805006679271109249e+00
-1.940953933317057789e+01 1.804977494786909498e+00
-1.735589414876302783e+01 1.805537306256560059e+00
-1.522645497249349233e+01 1.806564069473407086e+00
-1.309841077766927242e+01 1.807524504317072678e+00
-1.089178262809245012e+01 1.808063090707304754e+00
-8.771875825032555696e+00 1.809344554877167832e+00
-6.565247675455730736e+00 1.810501321705449529e+00
-4.348854655761719812e+00 1.811509512977805825e+00
-2.153386357747396396e+00 1.812878530600267935e+00
1.288032867838541651e-01 1.813841618578860393e+00
2.260567432128906873e+00 1.815502481043320904e+00
4.514392453938802952e+00 1.817579885691359420e+00
6.768682469563803039e+00 1.818126431486373429e+00
9.005535217122398350e+00 1.819429120735654548e+00
1.100431113134765759e+01 1.820243633158320939e+00
1.318559711800130607e+01 1.821925720702199714e+00
1.541965990266927378e+01 1.823074528125700144e+00
1.767348492447916897e+01 1.823867815468948494e+00
