Hysterese	V-MOKE
Charge	2020_0446
Sample	1
Sample State	bFC
User	Meike Reginka
Sample Angle	100.0
Magnetic Field Angle	90.0
Detektor Averages	300
Hysteresus Points	150
Magnetic Field [kA/m]	80
Hysteresis Averages	100
Polarization	p-polarization
Measurement Method	Scan Both Angles
Max Voltage Correction	No
Training Effect Elimination	No
Magnetic field [kA/m]	Magnetic field transversal [kA/m]	Magnetic field longitudinal [kA/m]	Magnetic field transversal [V]	Magnetic field longitudinal [V]	Detector diff transversal [V]	Detector diff longitudinal [V]	Detector raw transversal [V]	Detector raw longitudinal [V]
80.0	80.0	0.0	-4.342489581062203	0.0	-8.889669801000077	-0.8455192640011794	0.12167220194738665	1.6484257268385405
78.93333333333334	78.93333333333334	0.0	-4.283945631442396	0.0	-8.889297656060549	-0.8466145256850287	0.12168481139152817	1.6484474150824624
77.86666666666666	77.86666666666666	0.0	-4.225481927972428	0.0	-8.892669689710027	-0.8466267595287065	0.12166118075663497	1.6483959363560408
76.8	76.8	0.0	-4.167093947216811	0.0	-8.889264334933692	-0.8466286697253506	0.12169530674163054	1.6485218054371762
75.73333333333333	75.73333333333333	0.0	-4.108777426500553	0.0	-8.887660038038442	-0.8466216513623988	0.12169425506033199	1.6483868682877005
74.66666666666667	74.66666666666667	0.0	-4.050528351430542	0.0	-8.891207616613237	-0.8466273604894483	0.12166223243793357	1.6483584406983125
73.6	73.6	0.0	-3.992342943813344	0.0	-8.891165377658226	-0.846624377148622	0.12167404775538014	1.6484057985510756
72.53333333333333	72.53333333333333	0.0	-3.934217649963252	0.0	-8.892417618873054	-0.8466152124973046	0.1216662245342915	1.6482848122759677
71.46666666666667	71.46666666666667	0.0	-3.876149129394453	0.0	-8.891357030477728	-0.846623937159507	0.12166570942508402	1.6482099819321405
70.4	70.4	0.0	-3.818134243891202	0.0	-8.894305655090115	-0.8466128945058715	0.12165144733890189	1.648057058886169
69.33333333333333	69.33333333333333	0.0	-3.760170046949834	0.0	-8.889485799698583	-0.8466139783814961	0.12169803252785354	1.6485087774668048
68.26666666666667	68.26666666666667	0.0	-3.7022537735865026	0.0	-8.893318448293963	-0.8466239478909487	0.12165941006873426	1.6481894741468168
67.2	67.2	0.0	-3.6443828305044987	0.0	-8.894612649446325	-0.8466344325096093	0.12165040638904516	1.648228558057935
66.13333333333333	66.13333333333333	0.0	-3.586554786615013	0.0	-8.892842219100213	-0.846609932627929	0.12166547333336394	1.64819137361202
65.06666666666666	65.06666666666666	0.0	-3.5287673639052177	0.0	-8.891361086962752	-0.8466139139928446	0.12167752474253068	1.648463522976639
64.0	64.0	0.0	-3.4710184286475108	0.0	-8.896382757849175	-0.846615609560653	0.12164075882284664	1.647913107325561
62.93333333333334	62.93333333333334	0.0	-3.4133059829438133	0.0	-8.895822480003067	-0.8466173158599024	0.12163510335300623	1.6479238602302675
61.86666666666667	61.86666666666667	0.0	-3.3556281565987605	0.0	-8.893937834921628	-0.8466206426068673	0.12164065150842848	1.6481155237812184
60.8	60.8	0.0	-3.2979831993156687	0.0	-8.890380759020818	-0.8466237010677873	0.12168622794184873	1.6484074726559994
59.733333333333334	59.733333333333334	0.0	-3.2403694732091295	0.0	-8.893905973270874	-0.8466248707949456	0.12164419288422984	1.6481006607342934
58.66666666666667	58.66666666666667	0.0	-3.1827854456281033	0.0	-8.893516003406475	-0.8466388538636406	0.12165144733890194	1.6480956706138459
57.6	57.6	0.0	-3.1252296822833725	0.0	-8.897232666578638	-0.8466344861668182	0.12162600309034076	1.648001180268599
56.53333333333333	56.53333333333333	0.0	-3.0677008406732234	0.0	-8.897398606863538	-0.8466333593654274	0.12163580089672471	1.6480719755903026
55.46666666666667	55.46666666666667	0.0	-3.0101976638012173	0.0	-8.900292361613857	-0.8466243986115057	0.12160771671347513	1.647702567168445
54.4	54.4	0.0	-2.9527189741799083	0.0	-8.89592333409331	-0.846633509605613	0.12162446849416007	1.6477275928907764
53.33333333333333	53.33333333333333	0.0	-2.895263668114395	0.0	-8.897738149682805	-0.8466251605438748	0.12162976982642044	1.6477816686261186
52.266666666666666	52.266666666666666	0.0	-2.837830710259539	0.0	-8.897932699991605	-0.8466189041132921	0.12161754671418455	1.6477289343210038
51.2	51.2	0.0	-2.7804191284447413	0.0	-8.897431015817846	-0.8466190328905943	0.12161895253306336	1.6478408632592128
50.13333333333333	50.13333333333333	0.0	-2.7230280087601257	0.0	-8.900228981718458	-0.8466127335342445	0.12159728575202364	1.6476469890312464
49.06666666666666	49.06666666666666	0.0	-2.665656490897999	0.0	-8.899802514220436	-0.8466321896382683	0.12159664186551432	1.647742466669142
48.0	48.0	0.0	-2.6083037637434527	0.0	-8.896815610555093	-0.8466189363076176	0.12162138857035704	1.6477715488764813
46.93333333333334	46.93333333333334	0.0	-2.5509690612079656	0.0	-8.89989968742614	-0.8466253859041528	0.12160056957322132	1.6477225061873517
45.86666666666667	45.86666666666667	0.0	-2.4936516582998802	0.0	-8.899834075390839	-0.8466238405765308	0.12159993641815375	1.647620997479153
44.8	44.8	0.0	-2.4363508674256087	0.0	-8.900870314144658	-0.846624226908436	0.1215940555880351	1.6476047715391169
43.733333333333334	43.733333333333334	0.0	-2.3790660349154367	0.0	-8.900054907000666	-0.8466299253040438	0.12159818719313677	1.6476346264102673
42.666666666666664	42.666666666666664	0.0	-2.3217965377677903	0.0	-8.902856435739961	-0.8466165324646494	0.12156963082644698	1.6472720002596417
41.6	41.6	0.0	-2.264541780605829	0.0	-8.900633009771637	-0.8466141930103324	0.12159520385231005	1.647578382923675
